FirstName,LastName,EstimatedEthnicity,EstimatedGender,JobTitle,JobArea,Bachelors,Masters,Location,ZipCode,Bilingual,
Bradley,Becker,White,Male,Project Manager,management,University of Illinois at Urbana-Champaign,,"Chicago, IL",60607,,
Bradley,Becker,White,Male,Project Manager,management,University of Illinois at Urbana-Champaign,,"Chicago, IL",60654,,
Bradley,Becker,White,Male,Project Manager,management,Indiana University,,"Chicago, IL",60622,,
Bradley,Becker,White,Male,Project Manager,management,DePaul University,,"Chicago, IL",60657,,
Bradley,Becker,White,Male,Project Manager,management,Loyola University Chicago,,"Chicago, IL",60614,,
Kurt,Schultz,White,Male,Logistics Coordinator,logistics,Pennsylvania State University,,"Naperville, IL",60540,,
Kurt,Schultz,White,Male,Marketing Manager,marketing,University of Illinois at Urbana-Champaign,,"Springfield, IL",62701,,
Kurt,Schultz,White,Male,Senior Marketing Manager,marketing,DePaul University,,"Arlington Heights, IL",60004,,
Kurt,Schultz,White,Male,Marketing Manager,marketing,The Ohio State University,,"Columbus, OH",43201,,
Kurt,Schultz,White,Male,Senior Marketing Manager,marketing,University of Minnesota,,"Minneapolis, MN",55407,,
Todd,Gallagher,White,Male,Sales Manager,sales,University of North Carolina at Chapel Hill,,"Asheville, NC",28801,,
Todd,Gallagher,White,Male,Marketing Manager,marketing,Texas Christian University,,"Fort Worth, TX",76109,,
Todd,Gallagher,White,Male,Senior Software Engineer,software engineering,University of California,,"San Francisco, CA",94108,,
Todd,Gallagher,White,Male,Senior Software Engineer,software engineering,Stanford University,,"San Francisco, CA",94115,,
Todd,Gallagher,White,Male,Senior Software Engineer,software engineering,Stanford University,,"San Jose, CA",95125,,
Colleen,Klein,White,Female,Marketing Coordinator,marketing,DePaul University,,"Chicago, IL",60614,,
Colleen,Klein,White,Female,Marketing Coordinator,marketing,Northwestern University,,"Chicago, IL",60654,,
Colleen,Klein,White,Female,Marketing Coordinator,marketing,Loyola University Chicago,,"Chicago, IL",60613,,
