FirstName,LastName,EstimatedEthnicity,EstimatedGender,JobTitle,JobArea,Bachelors,Masters,Location,ZipCode,Bilingual,
Bradley,Becker,White,Male,Financial Analyst,FInance,Georgia State University,,"Atlanta, GA",30318,,
Bradley,Becker,White,Male,Data Analyst,Analyst,University of Colorado Boulder,,"Boulder, CO",80302,,
Bradley,Becker,White,Male,Software Engineer,Software Engineering,"Massachusetts Institute of Technology,",,"Cambridge, MA",2138,,
Bradley,Becker,White,Male,Manufacturing Engineer,Engineering,"University of Michigan, Ann Arbor",,"Detroit, MI",48208,,
Bradley,Becker,White,Male,Research Analyst,Loyola University New Orleans,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Kurt,Schultz,White,Male,Electrical Engineer,Engineering,Marquette University,,"Milwaukee, WI",53202,,
Kurt,Schultz,White,Male,Junior DevOps Engineer,Software Engineering,Temple University,,"Philadelphia, PA",19104,,
Kurt,Schultz,White,Male,Web Developer,Software Engineering,University of California Santa Cruz,,"Santa Cruz, CA",95060,,
Kurt,Schultz,White,Male,Business Analyst,Analyst,Loyola University New Orleans,,"New Orleans, LA",70115,,
Kurt,Schultz,White,Male,Web Designer,Software Engineering,Florida International University,,"Miami, FL",33140,,
Todd,Gallagher,White,Male,Software Engineer,Software Engineering,University of California San Diego,,"San Diego, CA",92101,,
Todd,Gallagher,White,Male,Junior Web Developer,Software Engineering,Tulane University,,"New Orleans, LA",70115,,
Todd,Gallagher,White,Male,Business Technology Analyst,Analyst,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Todd,Gallagher,White,Male,Mechanical Engineer,Engineering,"University of Michigan, Ann Arbor",,"Arbor, MI",48104,,
Todd,Gallagher,White,Male,Junior Data Analyst,Analyst,Loyola University New Orleans,,"New Orleans, LA",70115,,
Colleen,Klein,White,Female,Technical Account Manager,Management,"University of Washington, Seattle",,"Seattle, WA",98101,,
Colleen,Klein,White,Female,Junior Business Analyst,Analyst,University of California Los Angeles,,"Santa Monica, CA",90405,,
Colleen,Klein,White,Female,Manufacturing Engineer,Engineering,"University of Michigan, Ann Arbor",,"Ann Arbor, MI",48104,,
Colleen,Klein,White,Female,Marketing Coordinator,Marketing,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Colleen,Klein,White,Female,Junior Graphic Designer,Graphic Designing,Florida International University,,"Miami, FL",33140,,
Krista,O'Donnell,White,Female,Business Analyst,Analyst,Boston University,,"Boston, MA",2110,,
Krista,O'Donnell,White,Female,Junior Data Scientist,AI,University of Colorado Boulder,,"Denver, CO",80202,,
Krista,O'Donnell,White,Female,Marketing Coordinator,Marketing,University of California Los Angeles,,"Santa Monica, CA",90405,,
Krista,O'Donnell,White,Female,Project Manager,Management,University of Connecticut,,"Hartford, CT",6106,,
Krista,O'Donnell,White,Female,Administrative Coordinator,Admin,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Megan,Olson,White,Female,Marketing Manager,Marketing,Gustavus Adolphus College,University of Minnesota,"Minneapolis, MN",55408,,
Megan,Olson,White,Female,Human Resources Manager,Management,Swarthmore College,Temple University,"Philadelphia, PA",19131,,
Megan,Olson,White,Female,Registered Nurse,Health care,University of British Columbia,,"Vancouver, BC",V5Z 3T9,,
Megan,Olson,White,Female,Project Engineer,Engineering,Northern Arizona University,University of Arizona,"Tucson, AZ",85719,,
Megan,Olson,White,Female,Account Executive,sales,DePaul University,,"Chicago, IL",60625,,
Roosevelt,Drayton,Black,Male,Senior Financial Analyst,FInance,Howard University,Emory University,"Atlanta, GA",30312,,
Roosevelt,Drayton,Black,Male,Software Engineer,Software Engineering,University of California,,"San Francisco, CA",94109,,
Roosevelt,Drayton,Black,Male,High School English Teacher,Education,Villanova University,Temple University,"Philadelphia, PA",19103,,
Roosevelt,Drayton,Black,Male,Senior Mechanical Engineer,Engineering,California State University,University of Southern California,"Los Angeles, CA",90008,,
Roosevelt,Drayton,Black,Male,Attending Physician,Health care,University of Illinois at Chicago,Northwestern University Feinberg School of Medicine,"Chicago, IL",60626,,
Tyrone,Ivory,Black,Male,Cybersecurity Analyst,Analyst,Drexel University,,"Philadelphia, PA",19132,,
Tyrone,Ivory,Black,Male,Senior Graphic Designer,Graphic Designing,Rocky Mountain College of Art and Design,,"Denver, CO",80222,,
Tyrone,Ivory,Black,Male,Logistics Manager,logistics,Auburn University,Georgia State University,"Atlanta, GA",30308,,
Tyrone,Ivory,Black,Male,Executive Chef,hospitality,Seattle Central College,,"Seattle, WA",98112,,
Tyrone,Ivory,Black,Male,Marketing Manager,Marketing,University of Illinois at Chicago,DePaul University,"Chicago, IL",60613,,
Jermaine,Smalls,Black,Male,Financial Analyst,FInance,Georgia State University,,"Atlanta, GA",30318,,
Jermaine,Smalls,Black,Male,Digital Marketing Coordinator,Marketing,University of California Los Angeles,,"Santa Monica, CA",90405,,
Jermaine,Smalls,Black,Male,Revenue Analyst,Analyst,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Jermaine,Smalls,Black,Male,Associate Software Engineer,Software Engineering,Massachusetts Institute of Technology,,"Cambridge, MA",2138,,
Jermaine,Smalls,Black,Male,Digital Marketing Specialist,Marketing,Florida International University,,"Miami, FL",33140,,
Latonya,Artis,Black,Female,HR Coordinator,Management,Loyola University New Orleans,,"New Orleans, LA",70115,,
Latonya,Artis,Black,Female,Human Resources Generalist,Management,University of Illinois,DePaul University,"Chicago, IL",60613,,
Latonya,Artis,Black,Female,Family Medicine Physician,Health care,Morgan State University,Johns Hopkins University School of Medicine,"Baltimore, MD",21218,,
Latonya,Artis,Black,Female,Director of Sales,sales,University of Nevada,,"Las Vegas, NV",89110,,
Latonya,Artis,Black,Female,High School English Teacher,Education,Tufts University,Boston College,"Boston, MA",2135,,
Keisha,Lockett,Black,Female,Logistics Coordinator,Logistics,Wayne State University,,"Detroit, MI",48207,,
Keisha,Lockett,Black,Female,Project Manager,Management,Florida International University,,"Miami, FL",33140,,
Keisha,Lockett,Black,Female,Operations Analyst,Analyst,University of Hawaii at Manoa,,"Honolulu, HI",96815,,
Keisha,Lockett,Black,Female,Operations Manager,Management,San Diego State University,,"San Diego, CA",92101,,
Keisha,Lockett,Black,Female,Supply Chain Analyst,Logistics,Georgia State University,,"Atlanta, GA",30318,,
Ebony,Washington,Black,Female,Systems Administrator,IT,Illinois Institute of Technology,,"Chicago, IL",60657,,
Ebony,Washington,Black,Female,Chief Marketing Officer,Marketing,University of Georgia,Emory University,"Atlanta, GA",30305,,
Ebony,Washington,Black,Female,Software Engineer,Software Engineering,Stanford University,,"San Francisco, CA",94115,,
Ebony,Washington,Black,Female,Vice President of Sales,sales,University of Texas at Austin,,"Dallas, TX",75202,,
Ebony,Washington,Black,Female,Attending Physician,Health care,Massachusetts Institute of Technology,Doctor of Medicine (M.D.),"Newton, MA",2466,,
Wei,Liu,API,Male,Software Engineer,Software Engineering,University of California,,"San Jose, CA",95112,,
Wei,Liu,API,Male,Data Scientist,AI,Loyola University New Orleans,Tulane University,"New Orleans, LA",70115,,
Wei,Liu,API,Male,Cloud Solutions Architect,Cloud Solutions,University of Washington,,"Seattle, WA",98101,,
Wei,Liu,API,Male,Machine Learning Engineer,AI,University of Massachusetts Amherst,Northeastern University,"Boston, MA",2110,,
Wei,Liu,API,Male,Software Engineer,Software Engineering,University of California,,"San Francisco, CA",94103,,
Wang,Tao,API,Male,Project Director,Management,Tongji University,Tsinghua University,Shanghai,200050,,
Wang,Tao,API,Male,Senior Software Engineer,Software Engineering,Tsinghua University,,Guangzhou,510700,,
Wang,Tao,API,Male,Chief Operating Officer,Management,Nanyang Technological University,National University of Singapore,Singapore,388107,,
Wang,Tao,API,Male,Software Engineer,Software Engineering,Tsinghua University,,"Shanghai, China",200092,,
Wang,Tao,API,Male,Director of Human Resources,Management,Fudan University,Renmin University of China,Shanghai,200030,,
Rajesh,Patel,API,Male,Senior Marketing Manager,marketing,University of Mumba,Indian Institute of Management Ahmedabad (IIM-A),"Mumbai, Maharashtra",400050,,
Rajesh,Patel,API,Male,Project Manager,Management,Rutgers University,New Jersey Institute of Technology (NJIT,"Edison, NJ",8820,,Petroleum Engineer
Rajesh,Patel,API,Male,4th Grade Teacher,Education,City College of New York (CCNY,Columbia University,"Bronx, NY",10456,,Systems Analyst
Rajesh,Patel,API,Male,Senior Financial Analyst,FInance,Miami University,The Ohio State University,"Dublin, OH",43235,,Software Engineer
Rajesh,Patel,API,Male,Data Scientist,AI,University of Massachusetts Amherst,Harvard University,"Boston, MA",2110,,Software Engineer
Mei,Takahashi,API,Female,Product Manager,IT,Stanford University,,"San Francisco, CA",94103,,Data Scientist
Mei,Takahashi,API,Female,Business Analyst,Analyst,Loyola University New Orleans,,"New Orleans, LA",70115,,
Mei,Takahashi,API,Female,Senior Graphic Designer,Graphic Designing,Musashino Art University,,Tokyo,105-0003,,
Mei,Takahashi,API,Female,Senior Environmental Engineer,Engineering,University of California,Columbia University,"Brooklyn, NY",11215,,
Mei,Takahashi,API,Female,Cybersecurity Analyst,Analyst,University of California,,"Berkeley, CA",94704,,
Wang,Jing,API,Female,Project Manager,Management,Tsinghua University,,Shanghai,200030,,
Wang,Jing,API,Female,Senior Marketing Manager,marketing,Fudan University,,Shanghai,200060,,
Wang,Jing,API,Female,Senior Financial Analyst,FInance,ESSEC Business School,ESSEC Business School,"Paris, France",75002,,
Wang,Jing,API,Female,Head of Human Resources,Management,University of Westminster,University of Westminster,London,NW1 6XE,,
Wang,Jing,API,Female,Physician,Health care,,Harvard Medical School,"Newton, MA",2459,,
Priya,Gupta,API,Female,Senior Corporate Attorney,judiciary,University of Delhi,University of Delhi,New Delhi,110001,,
Priya,Gupta,API,Female,Registered Nurse,Health care,University of California,,"Fremont, CA",94538,,
Priya,Gupta,API,Female,Senior Marketing Manager,marketing,University of Illinois at Urbana-Champaign,University of Chicago Booth School of Business,"Chicago, IL",60657,,
Priya,Gupta,API,Female,Lead Architect,Architecture,Indian Institute of Technology Roorkee,École Nationale Supérieure d'Architecture de Paris-Belleville,Paris,75002,,
Priya,Gupta,API,Female,Investment Banking,Investment Banking,University of Delhi,London School of Economics and Political Science (LSE),London,W1K 6ZD,,
